word,sentiment,n
throttle,negative,2
tramp,negative,2
trashed,negative,2
treason,negative,2
treasonous,negative,2
treasure,positive,2
trendy,positive,2
tricky,negative,2
trivial,negative,2
trophy,positive,2
troubling,negative,2
tumultuous,negative,2
unconvincing,negative,2
unfeeling,negative,2
unfounded,negative,2
unpleasant,negative,2
unsophisticated,negative,2
untrue,negative,2
untrustworthy,negative,2
unwanted,negative,2
upsetting,negative,2
vain,negative,2
vanity,negative,2
variety,positive,2
vile,negative,2
virtue,positive,2
visionary,positive,2
vivid,positive,2
volatility,negative,2
weed,negative,2
whine,negative,2
whiny,negative,2
whore,negative,2
witty,positive,2
wonders,positive,2
worn,negative,2
wrath,negative,2
wreck,negative,2
wrongly,negative,2
wrought,negative,2
youthful,positive,2
abound,positive,1
abyss,negative,1
accidental,negative,1
accomplishment,positive,1
accusation,negative,1
ache,negative,1
achievements,positive,1
adamant,negative,1
addict,negative,1
admirable,positive,1
admirably,positive,1
admiration,positive,1
advantages,positive,1
adverse,negative,1
advocated,positive,1
affinity,positive,1
affirm,positive,1
aggravating,negative,1
aggression,negative,1
ail,negative,1
aimless,negative,1
alienation,negative,1
aloof,negative,1
altruistic,positive,1
amazes,positive,1
amazingly,positive,1
ambiguity,negative,1
ample,positive,1
angelic,positive,1
